sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	copy_ratio	modal_cn	expected_cn	subclonal	cancer_cell_frac	ccf_ci95_low	ccf_ci95_high	hz
SRP055730	1	12679	677044	19	664365	0.02868	0.00024	0.41507	2	2	0	1	1	1	0
SRP055730	1	895361	3978174	79	3082813	0.01406	0.00112	0.81883	5	5	1	0.67	0.42433	0.89481	0
SRP055730	1	4269050	5986243	11	1717193	0.03769	0.00063	0.56387	3	3	0	1	1	1	0
SRP055730	1	6024879	8828677	58	2803798	0.01641	0.00102	0.86067	5	5	0	0.97	0.68267	1	0
SRP055730	1	8883965	10520454	52	1636489	0.01733	6e-04	1.07821	7	6.94296	1	0.53	0.26734	0.7883	0
SRP055730	1	10985664	11389413	27	403749	0.02406	0.00015	0.98571	6	6	1	0.87	0.54058	0.98871	0
SRP055730	1	11652238	13989398	137	2337160	0.01068	0.00085	0.53047	3	3	1	0.59	0.37404	0.80161	0
SRP055730	1	14055203	15413928	12	1358725	0.03608	5e-04	0.38107	2	1.79289	1	0.48	0.11238	0.85628	0
SRP055730	1	15468015	16250227	33	782212	0.02176	0.00029	0.57556	3	3	0	1	1	1	0
SRP055730	1	16255333	16438552	16	183219	0.03125	7e-05	0.45023	2	2	0	1	1	1	0
SRP055730	1	16469349	16823688	10	354339	0.03953	0.00013	0.56724	3	3	0	1	1	1	0
SRP055730	1	16869527	17197897	42	328370	0.01929	0.00012	0.41369	2	2	0	0.25	0.03792	0.51944	0
SRP055730	1	17229086	17831385	20	602299	0.02795	0.00022	0.52863	3	2.98777	1	0.58	0.24017	0.89354	0
SRP055730	1	17931748	19494385	34	1562637	0.02144	0.00057	0.38002	2	1.81514	1	0.49	0.19619	0.77343	0
SRP055730	1	19499083	20427106	27	928023	0.02406	0.00034	0.51722	2	2.25322	1	0.5	0.18719	0.79913	0
SRP055730	1	20831659	24550910	117	3719251	0.01156	0.00136	0.50939	2	2.00007	1	0.44	0.21638	0.65639	0
SRP055730	1	24818586	28562058	117	3743472	0.01156	0.00137	0.5568	3	3	1	0.78	0.55616	0.96428	0
SRP055730	1	28592248	29069779	18	477531	0.02946	0.00017	0.78308	4	4.00125	1	0.41	0.09023	0.7511	0
SRP055730	1	29128027	29621477	13	493450	0.03467	0.00018	0.5778	3	3	0	1	1	1	0
SRP055730	1	29641959	31349875	11	1707916	0.03769	0.00062	0.32449	1	1	0	1	1	1	0
SRP055730	1	32073703	32257930	12	184227	0.03608	7e-05	0.38658	2	1.95917	1	0.44	0.08863	0.82332	0
SRP055730	1	32273300	32919148	25	645848	0.025	0.00024	0.5776	3	3	0	1	1	1	0
SRP055730	1	33147943	33738766	19	590823	0.02868	0.00022	0.55476	3	3	0	0.77	0.41535	0.97694	0
SRP055730	1	33779357	35407547	28	1628190	0.02362	0.00059	0.36227	1	1.00011	1	0.62	0.30658	0.90208	0
SRP055730	1	35453570	36936314	68	1482744	0.01516	0.00054	0.55792	3	3	0	0.79	0.53767	0.97296	0
SRP055730	1	37915119	38486325	29	571206	0.02321	0.00021	0.55288	3	3	0	0.75	0.44347	0.97048	0
